id	13	107	88	104	67	6	15	44	70	7	17	18	30	24	66	16	64	37	79	81	19	92	80	59	82	115	114	8	124	35	1	101	25	112	22	123	12	129	34	116	40	11	89	87
zitou	飛	蜂	飯	竹	直	肥	浮	頭	賊	水	手	樹	斜	雨	蠅	牛	日	蛇	舌	船	菇	肝	血	鴨	出	腸	六	書	青	大	枝	目		腹	墓	箬	雞	鼎	我	兩	短		脫	卵
changle	pui1	phuŋ1	puɔŋ6	tøyk7	tiʔ8	pui2	phu2	thau2	tshɛik8	tsui3	tshiu3	tshieu5	sia2	huɔ6	siŋ2	ŋu2	nik8	sie2	siek8	suŋ2	ku1	kaŋ1	haik7	ak7	tshouk7	touŋ2	løyk8	tsy1	tshiaŋ1	tuai6	tsie1	møyk8	tshuɔ5	pouk7	muɔ5	luoʔ8	kie1	tiaŋ3	ŋui3	laŋ6	tøy3	sa6		lɔuŋ6
lianjiang	pui1	phuŋ1	puoŋ6	tyʔ7	tiʔ8	pui2	phu2	thau2	tsheiʔ8	tsy3	tshiu3	tshiu5	sia2	huo6	siŋ2	ŋu2	niʔ8	sie2	sieʔ8	suŋ2	ku1	kaŋ1	heiʔ7	aʔ7	tshuʔ7	touŋ2	løyʔ8	tsy1	tshiaŋ1	tuai6	tsie1	møyʔ8	tshuo5	poʔ7	muo5	nyoʔ8	kie1	tiaŋ3	ŋuai3	laŋ6	tøy3	sɛ6		louŋ6
pingtan	pui1	phuŋ1	puɔŋ6	tøʔ7	tiʔ8	pui2	phu2	thau2	tsheʔ8	tsui3	tshiu3	tshiɛu5	sia2	huɔ6	siŋ2	ŋu2	niʔ8	sia2	sieʔ8	suŋ2	ku1	kaŋ1	hɛʔ7	aʔ7	tshoʔ7	toŋ2	løyʔ8	tsy1	tshaŋ1	tua6	tsie1	møʔ8	tshuɔ5	poʔ7	muɔ5	nyoʔ8	kie1	tiaŋ3	ŋua3	laŋ6	toi3	sɛ6		lɔŋ6
yongtai	pui1	phuŋ1	puoŋ6	tyʔ7	tiʔ8	puoi2	phu2	thau2	tsheiʔ8	tsuoi3	tshiu3	tshiɛu5	sia2 / tshia6	huo6	siŋ2	ŋu2	niʔ8	sie2	sieʔ8	suŋ2	ku1	kaŋ1	heiʔ7	aʔ7	tshuʔ7	touŋ2	løyʔ8	tsy1	tshiaŋ1	tuai6	tsie1	meiʔ8	tshuɔ5	puʔ7	muo5	nuoʔ8	kie1	tiaŋ3	ŋuoi3	laŋ6	tuoi3			lɔuŋ6
minqing	pui1	phuŋ1	puoŋ6	tyʔ7	tiʔ8	puoi2	phu2	thau2	tsheiʔ8	tsuoi3	tshiu3	tshiu5	sia2	huo6	siŋ2	ŋu2	niʔ8	sie2	sieʔ8	suŋ2	ku1	kaŋ1	heiʔ7	aʔ7	tshuʔ7	toŋ2	løʔ8	tsy1	tshiaŋ1	tuai6	tsie1	møyʔ8	tshuɔ5	puʔ7	nuɔ5	nyoʔ8	kie1	tiaŋ3	ŋuai3	laŋ6	toi3	sɛ6		loŋ6
pingnan	pui1	phuŋ1	puoŋ6	tyʔ7	tik8	pui2	phu2	thau2	tsheiʔ8	tsuoi3	tshiu3	tshieu5	sia2	huo6	siŋ2	ŋu2	niʔ8	sie2	sieʔ8	suŋ2	ku1	kaŋ1	heiʔ7	aʔ7	tshuʔ7	touŋ2	løʔ8	tsy1	tshaŋ1	tuai6	tsie1	møʔ8	tshuo5	puʔ7	muɔ5	nyoʔ8	kie1	tiaŋ3	ŋuai3	laŋ6	toi3	sɛ6		louŋ6
luoyuan	pui1	phuŋ1	puoŋ6	tyk7	tik8	pui2	phu2	thau2	tshiek8	tsy3	tshiu3	tshiu5	sia2 / tshie6	huo6	siŋ2	ŋu2	nik8	sia2	siek8	suŋ2	ku1	kaŋ1	heik7	ak7	tshuk7	toŋ2	løyk8	tsy1	tshaŋ1	tui6	tsie1	møk8	tshuo5	puk7	muo5	nyoʔ8	kie1	tiaŋ3	ŋui3	laŋ6	tui3	sɛ6		lɔŋ6
zhouning	pui1	phuŋ1	pun6	tøʔ7	tek8	poi2	pho2	thau2	tshɛk8	tsyi3	tshiu3	tsheu5	tshiɛ2	hu6	sɛŋ2	ŋo2	nek8	siɛ2	sieʔ8	θun2	ku1	kan1	hɛk7	ak7	tshot7	tɔŋ2	lœk8	tsy1	tshaŋ1	tuɔ6	tsi1	mik8	tshu5	puk7	mu5	nyʔ8	ki1	tiaŋ3	uɔ3	laŋ6	tai3	sɛ6		lɔn2
