,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132
gutian,tsie⁵⁵,pʰi²¹,,mi³³,,,tsy⁴²,tsy⁵⁵,tʰy³³,,,kie⁵⁵,puoi⁵⁵,tœ³²⁴,pʰu³³,ŋu³³,tsʰiu⁴²,tsʰiu²¹,,u⁵⁵,ŋu³²⁴,,,huo³²⁴,,to⁵⁵,mo³³,pa³²⁴,ma⁴²,sia³³,,ua³²⁴,sai⁵⁵,ŋuai⁴²,tuai³²⁴,tai²¹,sie³³,,ŋuoi³²⁴,toi⁴²,soi³²⁴,tɛu³³,,tʰau³³,tsʰau⁴²,loi³³,ma³³,tsa⁴²,tsʰiau²¹,,seik⁵,tseiŋ⁵⁵,,niaŋ⁴²,tsaŋ⁵⁵,aŋ²¹,saŋ⁵⁵,taŋ²¹,ak²,sik⁵,,miŋ²¹,tsʰik²,nik⁵,piŋ⁵⁵,siŋ³³,tik⁵,,peiŋ⁴²,tsʰeik⁵,kyŋ⁵⁵,,kieŋ⁵⁵,peiŋ⁴²,peik²,,nieŋ³³,tʰiek²,siek⁵,heik²,suŋ³³,tsʰuk²,,kouk²,kouk⁵,souŋ⁵⁵,louŋ³²⁴,puoŋ³²⁴,tʰouk²,tsuoŋ⁵⁵,ŋuok⁵,kaŋ⁵⁵,saŋ⁴²,sak²,,tsuoŋ³³,,muaŋ⁴²,puaŋ²¹,møyŋ²¹,møyk⁵,lyŋ³³,tsyŋ²¹,tyk²,tsyk²,nyk⁵,,,,nøyŋ²¹,tøyŋ³²⁴,puk²,køyk²,løyk⁵,touŋ³³,laŋ³²⁴,soʔ²,,loʔ⁵,,syøŋ³²⁴,syøk⁵,nyøk⁵,tsʰaŋ⁵⁵,paŋ³³,tsaŋ⁴²,paʔ⁵,miaŋ³³,,,huaŋ³³,
huping,tsie⁵⁵,pʰi²¹,,mi³³,,,tsy⁴²,tsy⁵⁵,tʰy³³,,,kie⁵⁵,puoi⁵⁵,tœ²¹³,pʰu³³,ŋu³³,tsʰiu⁴²,tsʰiu²¹,,u⁵⁵,ŋu²¹³,,,y⁴²,,tɔ⁵⁵,mɔ³³,pa²¹³,ma⁴²,sia³³,,ua²¹³,sai⁵⁵,ŋuai⁴²,tuai²¹³,tai²¹,sie³³,kʰia³³,ŋuoi²¹³,toi⁴²,soi²¹³,tɛu³³,,tʰau³³,tsʰau⁴²,loi³³,ma³³,tsa⁴²,tsʰiɛu²¹,,seik⁵,tseiŋ⁵⁵,,nieŋ⁴²,tsaŋ⁵⁵,aŋ²¹,saŋ⁵⁵,taŋ²¹,ak²,sik⁵,,miŋ²¹,tsʰik²,nik⁵,piŋ⁵⁵,siŋ³³,tik⁵,,peiŋ⁴²,tsʰeik⁵,kyŋ⁵⁵,,kieŋ⁵⁵,peiŋ⁴²,peik²,,nieŋ³³,tʰiek²,siek⁵,heik²,suŋ³³,tsʰuk²,,kouk²,kouk⁵,souŋ⁵⁵,louŋ²¹³,puoŋ²¹³,tʰouk²,tsuoŋ⁵⁵,ŋuok⁵,kaŋ⁵⁵,saŋ⁴²,sak²,,tsuoŋ³³,,muaŋ⁴²,puaŋ²¹,møyŋ²¹,møyk⁵,lyŋ³³,tsyŋ²¹,tyk²,tsyk²,nyk⁵,pʰuŋ⁵⁵,,,nøyŋ²¹,tøyŋ²¹³,puk²,køyk²,løyk⁵,touŋ³³,laŋ²¹³,sɔʔ²,,lɔʔ⁵,,syoŋ²¹³,syok⁵,nyok⁵,tsʰaŋ⁵⁵,paŋ³³,tsaŋ⁴²,paʔ⁵,miaŋ³³,,,huaŋ³³,
fuzhou,tsie⁵⁵,pʰei²¹³,,mi⁵²,sai⁵²,pui⁵³,tsui³³,tsy⁵⁵,tʰy⁵²,,,kie⁵⁵,pui⁵⁵,tɔ²⁴²,pʰu⁵²,ŋu⁵²,tsʰiu³³,tsʰiu²¹³,ku⁵⁵,u⁵⁵,ŋou²⁴²,muo²¹³,,y³³,tsʰuo²¹³,to⁵⁵,mo⁵²,pa²⁴²,ma³³,sia⁵²,,ua²⁴²,sai⁵⁵,ŋuai³³,tuai²⁴²,tai²¹³,sie⁵²,kʰie⁵²,ŋie²⁴²,tøy³³,soy²⁴²,tɛu⁵²,,tʰau⁵²,tsʰau³³,nai⁵²,ma⁵²,tsa³³,tsʰiu²¹³,,seiʔ⁵,tseiŋ⁵⁵,,nieŋ³³,tsaŋ⁵⁵,aŋ²¹³,saŋ⁵⁵,taŋ²¹³,aʔ²⁴,siʔ⁵,,meiŋ²¹³,tsʰeiʔ²⁴,niʔ⁵,piŋ⁵⁵,siŋ⁵²,tiʔ⁵,,peiŋ³³,tsʰeiʔ⁵,kyŋ⁵⁵,,kieŋ⁵⁵,peiŋ³³,paiʔ²⁴,,nieŋ⁵²,tʰieʔ²⁴,sieʔ⁵,xaiʔ²⁴,suŋ⁵²,tsʰouʔ²⁴,,kauʔ²⁴,kouʔ⁵,souŋ⁵⁵,nauŋ²⁴²,puoŋ²⁴²,tʰauʔ²⁴,tsuoŋ⁵⁵,ŋuoʔ⁵,kaŋ⁵⁵,saŋ³³,saʔ²⁴,ka⁵⁵ laʔ⁵,tsuoŋ⁵²,naŋ³³,muaŋ³³,puaŋ²¹³,moyŋ²¹³,møyʔ⁵,nyŋ⁵²,tsøyŋ²¹³,tøyʔ²⁴,tsøyʔ²⁴,nyʔ9,pʰuŋ⁵⁵,,,nøyŋ⁵²,toyŋ²⁴²,pouʔ²⁴,koyʔ²⁴,nøyʔ⁵,touŋ⁵²,laŋ²⁴²,sɔʔ²⁴,,noʔ⁵,,suoŋ²⁴²,suoʔ⁵,nuoʔ⁵,tsʰaŋ⁵⁵,paŋ⁵²,tsaŋ³³,paʔ⁵,miaŋ⁵²,tiaŋ³³,,xuaŋ⁵²,
hupei,kiʔ³,pʰi⁴⁴⁵,,mei²²¹,tsai⁵⁵³,poi²¹¹,tʃyː⁴¹,tʃyʔ³,tʰʌi²²¹,,,kieʔ³,puoi³³⁴,tœː⁴¹,pʰou²²¹,ŋou²²¹,tʃʰiu⁴¹,tʃʰiu⁴⁴⁵,kuʔ³ /  ku³³⁴,u³³⁴,ŋou⁴¹,muo⁴⁴⁵,,xuo³⁵,tsʰuoʔ⁵,tɔʔ³,mɔ²²¹,,maː⁴¹,θie²²¹,,uoː⁴¹,θuoʔ³,uaː⁴¹,tuoː⁴¹,tai⁴⁴⁵,θie²²¹,kʰei²²¹,ŋie⁴⁴,tʌi⁴¹,θɔːi⁴¹,tᴇu²²¹,,tʰau²²¹,tsʰau⁴¹,lai²²¹,ma²²¹,tsaː⁴¹,tʃʰiɐu⁴⁴⁵,,θep³,tʃem³³⁴,,nᴇm⁴¹,tsam³³⁴,am⁴⁴⁵,θam³³⁴,tam⁴⁴⁵,ap⁵,θiap³,,min⁴⁴⁵,tʃʰit⁵,nit³,pin³³⁴,len³²²,tit³,,pᴇn⁴¹,tʃʰet³,kyn³³⁴,,kien³³⁴,pᴇn⁴¹,pᴇt⁵,,nien²²¹,tʰᴇt⁵,θet³,xᴇt⁵,θon²²¹,tsʰut⁵,,kɔt⁵,kot³,θon³³⁴,lɔːn⁴¹,puoːn⁴¹,tʰot³,tson³³⁴,ŋot³,kan³³⁴,θan⁴¹,θat⁵,θam³⁵ mɔ⁴¹,tsuon²²¹,tien⁴¹,man⁴¹,pan⁴⁴⁵,mœuŋ⁴⁴⁵,møk³,løŋ²²¹,tʃyuŋ⁴¹,tyuk⁵,tʃyuk⁵,nyuk³,pʰuŋ³³⁴,,,nœuŋ²²¹,tœːuŋ⁴¹,puk⁵,kœk⁵,løk³,tɔŋ²²¹,laːŋ⁴¹,θɔʔ⁵,,lɔʔ³,,θyoːŋ⁴¹,θiʌʔ³,niʌʔ³,tsʰaŋ³³⁴,paŋ²²¹,tsaŋ⁴¹,paʔ³,mieŋ²²¹,tiaŋ⁴¹,,xuoŋ²²¹,
xiancun,ki⁴⁴,pʰi⁵⁵,,mᴇi³²²,tʃai⁵³³,poi³²²,tʃøy¹¹,tɕy⁴⁴,tʰø³²²,,,ki⁴⁴,pui⁴⁴,tœː¹¹,pʰo³²²,ŋo³²²,tʃʰou¹¹,ɕiu⁵⁵,ku⁴⁴,u⁴⁴,ŋoː¹¹,mu⁵⁵,,huː¹¹,tʃʰu⁵⁵,tɔ⁴⁴,mɔ³²²,paː¹¹,maː¹¹,ɕiᴇ³²²,,uɔː¹¹,θuɔ⁴⁴,uaː¹¹,tuɔː¹¹,tai⁵⁵,θiᴇ³²²,kʰᴇi³²²,ŋiːᴇ¹¹,tøy¹¹,θɔːi¹¹,tᴇu³²²,,tʰau³²²,tʃʰau¹¹,lai³²²,ma³²²,tʃaː¹¹,ɕiu⁵⁵,,θᴇp³,tʃem⁴⁴,,nem¹¹,tʃam⁴⁴,am⁵⁵,θam⁴⁴,tam⁵⁵,ap⁵,θiᴇp³,,min⁵⁵,ɕit⁵,net³,pin⁴⁴,θen³²²,tet³,,pen¹¹,tʃʰᴇt³,kyn⁴⁴,,kin⁴⁴,pen¹¹,pᴇt⁵,,nin³²²,tʰit⁵,θit³,hᴇk⁵,θon³²²,tʃʰut⁵,,kɔt⁵,kɔt³,θon⁴⁴,lɔːn¹¹,puːn¹¹,tʰɔt³,tʃun⁴⁴,ŋut³,kan⁴⁴,θan¹¹,θat⁵,θam³⁵ mɔ¹¹ / sat³,tʃun³²²,tiᴇn¹¹,maŋ¹¹,puən⁵⁵,mœŋ⁵⁵,mœk³,løŋ³²²,tʃoŋ⁵⁵,tyuk⁵,tɕyuk⁵,nøk³,pʰuŋ⁴⁴,,,nœŋ³²²,tœːŋ¹¹,puk⁵,kœk⁵,lœk³,tɔŋ³²²,laːŋ¹¹,θɔʔ⁵,tɔʔ³,lɔʔ³,,θyoːŋ¹¹,θyʔ³,nyʔ³,tʃʰaŋ⁴⁴,paŋ³²²,tʃaŋ¹¹,paʔ³,miᴇŋ³²²,tiaŋ¹¹,,huəŋ³²²,
jiudu,ki⁴⁴,pʰei³⁵,,mei²²,tsai⁵⁵³,poi²²,tɕyː⁴¹,tɕy⁴⁴,tʰøy²²,,,ki⁴⁴,pøy⁴⁴,tœː⁴¹,pʰou²²,ŋou²²,ɕiu⁴¹,tʃʰeu³⁵,ku⁴⁴,u⁴⁴,ŋou⁴¹,mu³⁵,,huː⁴¹,tsʰu³⁵,tɔ⁴⁴,mɔ²²,,maː⁴¹,ɕie⁴⁴,,uoː⁴¹,suo⁴⁴,uaː⁴¹,tuoː⁴¹,tai³⁵,sie²²,kʰei²²,ŋieː⁴¹,tøy⁴¹,sɔːi⁴¹,tɛu²²,,tʰau²²,tsʰau⁴¹,lai²²,ma²²,tsaː⁴¹,ɕiu³⁵,,sep²,tʃem⁴⁴,,nem⁴¹,tsam⁴⁴,am³⁵,sam⁴⁴,tam³⁵,ap⁴,sep²,,min³⁵,tʃʰet⁴,net²,piŋ⁴⁴,sen²²,tet²,,pen⁴¹,tʃʰet²,kyn⁴⁴,,ken⁴⁴,pen⁴¹,pɛt⁴,,nin²²,tʰit⁴,set²,hɛt⁴,son²²,tsʰot⁴,,kɔt⁴,køt²,søn⁴⁴,lɔːn⁴¹,puːn⁴¹,tʰot²,tʃøn⁴⁴,nøt²,kan⁴⁴,san⁴¹,sat⁴,sam²⁴ mɔ⁴¹,sen²²,tien⁴¹,man⁴¹,puon³⁵,mœuŋ³⁵,møk²,løŋ²²,tʃøŋ³⁵,tøk⁴,tʃøk⁴,nøk²,pʰʊŋ⁴⁴,,,nœuŋ²²,tœːŋ⁴¹,pok⁴,kœk⁴,løk²,tɔŋ²²,laːŋ⁴¹,sɔʔ⁴,,lɔʔ²,,sioːŋ⁴¹,syʔ²,nyʔ²,tsʰaŋ⁴⁴,paŋ²²,tsaŋ⁴¹,paʔ²,mieŋ²²,taŋ⁴¹,,huoŋ²²,
taishun,ki²¹³,pʰi⁵³,,mai³³,tsai³³,pei³³,tɕy⁴⁵⁵,ɕy²¹³,ty³³,,,kei²¹³,puɔi²¹³,tei⁵³,pʰu³³,ŋ³³,tɕʰiu⁴⁵⁵,tɕʰiu⁵³,,ou²¹³,ŋ⁴²,,,hou⁴²,tsʰɵy⁵³,tou²¹³,mou³³,pa⁴²,ma⁴⁵⁵,tɕʰia³³,,ʋa⁴²,sa²¹³,ŋa⁴⁵⁵,ta⁴²,ta⁵³,ɕia³³,ki³³,ȵia⁴²,tɔi⁴⁵⁵,sɔi⁴²,tɛu³³,,tʰau³³,tsʰau⁴⁵⁵,lai³³,ma³³,tsa⁴⁵⁵,tɕʰiau⁵³,,sɛʔ⁴³,tse²¹³,,ȵie⁴⁵⁵,tsaŋ²¹³,aŋ⁵³,saŋ²¹³,taŋ⁵³,aʔ⁵,ieʔ⁴³ ,,mɪŋ⁵³,tɕʰieʔ⁵,ȵieʔ⁴³,pɪŋ²¹³,sʏŋ³³,tɪʔ⁴³,,pe⁴⁵⁵,tsʰɛʔ⁴³,kʏŋ²¹³,,kie²¹³,pe⁴⁵⁵,pɛʔ⁵,,ȵie³³,tʰɪʔ⁵,ɕieʔ⁴³,hɛʔ⁵,sʏŋ³³,tɕʰyeʔ⁵,,kuəʔ⁵,ʋaʔ⁴³,sɔ̃²¹³,lɔ̃⁴²,puɔi⁴²,tʰɔʔ⁵,tɕye²¹³,ŋuəʔ⁴³,kaŋ²¹³,saŋ⁴⁵⁵,saʔ⁵,saʔ⁴³,ɕye³³,tiaŋ⁴²,muaŋ⁴⁵⁵,puaŋ⁵³,mɤŋ⁵³,məʔ⁴³,lɤŋ³³,tsɤŋ⁵³,təʔ⁵,tsəʔ⁵,ȵiəʔ⁴³,pʰɤŋ²¹³,,,nɤŋ³³,tɤŋ⁴²,puəʔ,kou⁵³,ləʔ⁴³,tɔ̃³³,lɔ̃⁴²,sou⁵³,,lou⁴²,,tɕʰiɔ̃⁴²,sɵy⁴²,ȵy⁴²,tsʰaŋ²¹³,paŋ³³,tsaŋ⁴⁵⁵,pa⁴²,miaŋ³³,tiaŋ⁴⁵⁵,,faŋ³³,
cangnan,tsɿ⁴⁴,pʰi⁴²,,mĩ²¹³,dza²¹³,bai²¹³,tɕy⁴⁵,ɕy⁴⁴,dy²¹³,,,tsɿ⁴⁴,pø⁴⁴,dai¹¹,bu²¹³,ŋ²¹³,tɕʰio⁴⁵,tɕʰio⁴²,ku⁴⁴,vu⁴⁴,ŋ¹¹,,,fu¹¹,,tau⁴⁴,mau²¹³,bo¹¹,mõ⁴⁵,ʑi²¹³,,o¹¹,so⁴⁴,o⁴⁵,do¹¹,to⁴²,zo²¹³,dzɿ²¹³,ȵio¹¹,tø⁴⁵,zø¹¹,dio²¹³,,dɔ²¹³,tsʰɔ⁴⁵,la²¹³,mõ²¹³,tsɔ⁴⁵,tɕio⁴²,,zəʔ²,tsãi⁴⁴,,ȵĩ⁴⁵,tsẽ⁴⁴,ẽ⁴²,sẽ⁴⁴,tẽ⁴²,aʔ⁵,ȵiəʔ²,,miŋ⁴²,tɕʰiəʔ⁵,ȵiəʔ²,piŋ⁴⁴,iŋ⁴⁴,diəʔ²,,pãi⁴⁵,zə²,tɕioŋ⁴⁴,,tɕĩ⁴⁴,pãi⁴⁵,pəʔ⁵,,nĩ²¹³,tʰiəʔ⁵,ʑiəʔ²,haʔ⁵,ʑioŋ²¹³,tɕʰiəʔ⁵,,kuəʔ⁵,,sø̃⁴⁴,lø̃¹¹,,tʰəʔ⁵,tɕỹ⁴⁴,ȵiəʔ²,kẽ⁴⁴,sẽ⁴⁵,səʔ⁵,kəʔ⁵zəʔ²,dʑỹ²¹³,lẽ⁴⁵,mẽ⁴⁵,pẽ⁴²,moŋ⁴²,məʔ²,loŋ²¹³,tsoŋ⁴²,təʔ⁵,səʔ⁵,ȵiəʔ²,pʰoŋ⁴⁴,,,noŋ²¹³,doŋ¹¹,pəʔ⁵,kau⁴²,ləʔ²,dõ²¹³,lõ¹¹,sau⁴²,,lau¹¹,,ʑiõ¹¹,ʑy¹¹,,tsʰã⁴⁴,bã²¹³,tsã⁴⁵,ba¹¹,miã²¹³,,,hã²¹³,
badu,ki³³,pʰeːi³⁵,li⁴¹,mi¹¹,tsaːi¹¹,puːi¹¹,tsy⁴¹,tsy³³,tʰoːy¹¹,pɛ¹¹,sɛ⁴¹ / sɛ⁴¹,ki³³,pøy³³,tœ⁴¹,pʰoːu¹¹,ŋoːu¹¹,tsʰiu⁴¹,tsʰeːi³⁵,ku³³,,ŋoːu⁴¹,mu³⁵,toːu¹¹,hu⁴¹,tsʰu³⁵,tɔ³³,mɔ¹¹,pa¹¹,ma⁴¹,tsʰiɛ¹¹,tsiɛ³⁵,uɔ⁴¹,suɔ³³,uɔ⁴¹,tuɔ⁴¹,tai³⁵,siɛ¹¹,kʰiɛ¹¹,ŋiɛ⁴¹,tøy⁴¹,sɔːi⁴¹,tɛːu¹¹,kau³³,tʰaːu¹¹,tsʰau⁴¹,lai¹¹,ma¹¹,tsa⁴¹,tsʰiːu³⁵,kʰeːm¹¹,sep⁵,,,nem⁴¹,stam³³,aŋ³⁵ / am³⁵,sam³³,taːm³⁵,aːp³³,,iŋ³³ ,miŋ³⁵ ,,nit⁵,,seːn¹¹,tit⁵,tsʰɛːn¹¹,,tsʰɛt⁵,kyn³³,kʰyːt³³,kɛn³³ ,pen⁴¹,pɛːt³³,ɛːt³³,niːn¹¹,tʰiːt³³,sɛt⁵,hɛːt³³,soːn¹¹,tsʰoːt³³,,kɔːt³³,kut⁵,søn³³,lɔːn⁴¹,puːn⁴¹,tʰɔːt³³,tsøn³³,ŋut⁵,kan³³,san⁴¹,saːt³³,sam³³ mɔ⁴¹,tsuŋ¹¹,tiɛːn⁴¹,man⁴¹,puɔːn³⁵,,,løːŋ¹¹,tsyŋ⁴¹,tøːk³³,tsøːk³³,nyk⁵,pʰuŋ³³,,,,tœːŋ⁴¹,pok³³,,,,,sɔʔ³³,,lɔʔ⁵,,siɔːŋ⁴¹,sy⁵,nyʔ⁵,tsʰaŋ³³,paːŋ¹¹,tsaŋ⁴¹,paʔ⁵,miɛːŋ¹¹,tiaŋ⁴¹,tsʰiɛʔ³³,huɔːŋ¹¹,jin¹¹
chixi,ki⁵⁵,pʰi²⁴,,,tsai²¹,pui²¹,,tɕy⁵⁵,tʰy²¹,,se¹²,kie⁵⁵,poi⁵⁵,,,,tɕʰiu⁵²,tɕʰiu²⁴,,,ŋu¹²,muo²⁴,,,tsʰuo²⁴,to⁵⁵,,,ma⁵²,tɕʰia²¹,tɕia²⁴,ua¹²,sua⁵⁵,ua⁵²,tua¹²,,sia²¹,kʰia²¹,ŋia¹²,toi⁵²,soi¹²,teu²¹,,tʰau²¹,tsʰau²¹,lai²¹,,tsa⁵²,tɕʰieu²⁴,,seʔ²⁴,tseŋ,,nieŋ⁵²,,,saŋ⁵⁵,,aʔ⁵,siʔ²⁴,,miŋ²⁴,tɕʰiʔ²⁴,niʔ²⁴,,siŋ²¹,tiʔ²⁴,,,tsʰeʔ²⁴,koŋ⁵⁵,,,,peʔ⁵,,nieŋ²¹,tʰieʔ⁵,sieʔ²⁴,heʔ⁵,suŋ²¹,tsʰuʔ⁵,,koʔ⁵,koʔ²⁴,soŋ⁵⁵,loŋ¹²,puoŋ¹²,,tɕioŋ⁵⁵,ŋuoʔ²⁴,kaŋ⁵⁵,,,,,,,puaŋ²⁴,meŋ²⁴,,luŋ²¹,,tyʔ,tɕyʔ⁵,nyʔ²⁴,pʰuŋ⁵⁵,,,,teŋ¹²,,keʔ⁵,leʔ²⁴,,naŋ¹²,soʔ⁵,,loʔ²⁴,,,sioʔ²⁴,nioʔ²⁴,,paŋ²¹,tsaŋ⁵²,paʔ²⁴,miaŋ²¹,tiaŋ⁵²,,huaŋ²¹,ieŋ²¹
fuqing,,pʰe²¹,li³³,mi⁵⁵,sai⁵⁵,pui⁵⁵,tsui³³,tsy⁵³,tʰy⁵⁵,pe⁵⁵,se⁴¹,kie⁵³,puoi⁵³,tø⁴¹,pʰu⁵⁵,ŋu⁵⁵,tsʰiu³³,tsʰiu⁴¹,ku⁵³,u⁵³,ŋo⁴¹,muo²¹,tuo⁵⁵,huo⁴¹,tsʰuo²¹,to⁵³,mo⁵⁵,pa⁵⁵,ma³³,sia⁵⁵,tsia²¹,ua⁴¹,sua⁵³,ŋua³³,tua⁴¹,tai²¹,sia⁵⁵,kʰia⁵⁵,ŋia⁴¹,toi³³,soi⁴¹,teu⁵⁵,kau⁵³,tʰau⁵⁵,tsʰau³³,loi⁵⁵,ma⁵⁵,tsa³³,tsʰieu²¹,,seʔ⁵,tseŋ⁵³,lieŋ⁵⁵,nĩ³³,tsaŋ⁵³,aŋ²¹,saŋ⁵³,taŋ²¹,aʔ²²,,iŋ⁵³,meŋ²¹,tsʰeʔ²²,niʔ⁵,piŋ⁵³,siŋ⁵⁵,tiʔ⁵,tsʰeŋ⁵⁵,peŋ³³,tsʰeʔ⁵,kyŋ⁵³,kʰøʔ²²,kieŋ⁵³,peng³³,peʔ²²,eʔ²²,nieŋ⁵⁵,tʰieʔ²²,sieʔ⁵,heʔ²²,suŋ⁵⁵,tsʰut²²,kuʔ⁵,koʔ²²,koʔ⁵,soŋ⁵³,loŋ⁴¹,puoŋ⁴¹,tʰoʔ²²,tsuoŋ⁵³,ŋuoʔ⁵,kaŋ⁵³,saŋ³³,saʔ²²,saʔ⁵,siaŋ⁴¹,,muaŋ³³,puaŋ²¹,møŋ⁴¹,møʔ⁵,lyŋ⁵⁵,tsyŋ³³,tøʔ²²,tsøʔ²²,nyʔ⁵,pʰuŋ⁵³,tsʰøŋ⁵³,tøŋ⁵⁵,nøŋ⁵⁵,tøŋ⁴¹ ,poʔ²²,køʔ²²,løʔ⁵,toŋ⁵⁵,lang⁴¹,so²¹ / soʔ²²,,lo⁵³,,syoŋ⁴¹,syo⁵³,nyo⁵³,tsʰaŋ⁵³,paŋ⁵⁵,tsaŋ³³,pa⁵³,miaŋ⁵⁵,tiaŋ³³,tsʰia²¹,huaŋ⁵⁵,ieŋ⁵⁵
muyang,kei⁴³,pʰei³⁵,li⁴¹,mi¹¹,tsai¹¹,pøi¹¹,tsi⁴¹,tsøi⁴³,tʰøi¹¹,pɛ¹¹,sɛ¹³,ki⁴³,pui⁴³,tœ¹³,pʰou¹¹,ŋou¹¹,tsʰiu⁴¹,tsʰeu³⁵,kou⁴³,ou⁴³,ŋou¹³,mu³⁵,tu¹¹,hu¹³,tsʰu³⁵,tɔ⁴³,mɔ¹¹,pa¹¹,ma⁴¹,tsʰe¹¹,tse³⁵,wo¹³,so⁴³,ŋo⁴¹,to¹³,tai³⁵,se¹¹,kʰe¹¹ ,ŋe¹³,tøi⁴¹,soi¹³,tɛu¹¹,kau⁴³,tʰau¹¹,tsʰou⁴¹,lai¹¹,ma¹¹,tsa⁴¹,tsʰiu³⁵,hem¹¹,sɛp²¹,tsɛm⁴³,lim¹¹,nim⁴¹,tsam⁴³,am³⁵,san⁴³,tam³⁵,ap⁵⁴,siɛp²¹,en⁴³,men³⁵,tset⁵⁴,net²¹,pen⁴³,sen¹¹,tet²¹,tsʰɛ¹¹,pen⁴¹,tsʰɛt²¹,køn⁴³,kʰøk⁵⁴,kin⁴³,pen⁴¹,pɛt⁵⁴,ɛt⁵⁴,nin¹¹,tʰit⁵⁴,sit²¹,,son¹¹,tsʰok⁵⁴,kut²¹,kɔt⁵⁴,kɔt²¹,sɔn⁴³,lɔn¹³,pun¹³,tʰɔt⁵⁴,tsun⁴³,nut²¹,kan⁴³,san⁴¹,sat⁵⁴,sat²¹,,tiɛn¹³,muan⁴¹,puan³⁵,mœŋ³⁵,mœk²¹,loŋ¹¹,tsuŋ⁴¹,tøk⁵⁴,tsøk⁵⁴,nøk²¹,pʰoŋ⁴³,tsʰœŋ⁴³,tœŋ¹¹,nœŋ¹¹,tœŋ¹³,pok⁵⁴,kœk⁵⁴,lœk²¹,tɔŋ¹¹,laŋ¹³,soʔ⁵⁴,tɔ²¹,lɔʔ²¹,iɔŋ¹¹,siɔŋ¹³,tsʰiʔ²¹,niʔ²¹,tsʰaŋ⁴³,paŋ¹¹,tsaŋ⁴¹,paʔ²¹,miaŋ¹¹,tiaŋ⁴¹,tsʰeʔ⁵⁴,huaŋ¹¹,yin¹¹
quanzhou,ki³³,pʰi⁴¹,tai²²,bai²⁴,,pui²⁴,tsui⁵⁵,,tɯ²⁴,,tsue⁴¹,kue³³,pə³³,tue²²,pʰu²⁴,ɡu²⁴,tsʰiu⁵⁵,tsʰiu⁴¹,kɔ³³,ɔ³³,gɔ²²,bɔ⁴¹,,hɔ²²,tsʰu⁴¹,to³³,bŋ²⁴,,be⁵⁵,,,ue⁴¹,sua³³,gua⁵⁵,tua⁴¹,tua⁴¹,tsua²⁴,kʰa²⁴,gua⁴¹,tə⁵⁵,tsə²²,,,tʰau²⁴,,lui²⁴,ba²⁴,tsa⁵⁵,tsʰio⁴¹,him²⁴,tsap²⁴,,nuĩ²⁴,nĩ⁵⁵,tʰue³³,am⁴¹,sã³³,,aʔ⁵,sit²⁴,,bin⁴¹,tsʰit⁵,lit²⁴,piŋ³³,sin²⁴,tit²⁴,,pan⁵⁵,tsʰat²⁴,kun³³,kʰit⁵,kuĩ³³,puĩ⁵⁵,pueʔ⁵,,nĩ²⁴,tʰiʔ⁵,tsiʔ²⁴,huiʔ⁵,tsun²⁴,tsʰut⁵,,kut⁵,kut²⁴,sŋ³³,nŋ²²,pŋ⁴¹,tʰut⁵,,ɡəʔ²⁴,kuã³³,suã⁴¹,suaʔ⁵,tsuaʔ²⁴,,tũa²²,,puã⁴¹,baŋ⁴¹,bak²⁴,liŋ²⁴,,tiak⁵,tsiak⁵,hiak²⁴,pʰaŋ³³,,taŋ²⁴,,taŋ²²,,kak⁵,lak²⁴,tŋ²⁴,nŋ²²,soʔ⁵,,,iũ²⁴,tsʰiũ²²,tsioʔ²⁴,hioʔ²⁴,,,tsĩ⁵⁵,peʔ²⁴,biã²⁴,tiã⁵⁵,,huĩ²⁴,ĩ²⁴
