id	zi	gloss	QZ	ZZ	DT	JY	CY	LZ	PSM		
56	□		nĩʔ⁷	lĩʔ⁷	⁻⁻⁻	niʔ⁷	niʔ⁷	ni⁷	ɤ*niʔ⁷		
57	閘		tsaʔ⁸⁴	tsaʔ⁸⁵	⁻⁻⁻⁻	tsaʔ⁸	⁻⁻⁻⁻	⁻⁻⁻⁻	*tsaʔ⁸		
58	血		huiʔ⁷	hueʔ⁷	hue⁵	hueʔ⁷	hueʔ⁷	huɛ⁷	*hueʔ⁷		
59	吹		tsʰə¹	tsʰue¹	tsʰue¹	tsʰue¹	tsʰue¹	tsʰui¹	tsʰuø¹		
60	□		pu0	pun⁹	pueŋ⁷	puŋ0	puŋ̃0	puŋ̃	ʷpun²		
61	鈍		tun⁶	tun¹	tueŋ¹	tuŋ¹	tuŋ¹	tuŋ¹	ɤ*tun¹		
62	身		sin¹	sin¹	seŋ¹	seŋ⁴	siŋ¹	sieŋ¹	*sin¹		
63	骨		kut⁷	kut⁷	koʔ¹	kuk⁷	kuk⁷	kuk⁷	ɤkut⁷		
64	冊		tsʰeʔ⁷	tsʰeʔ⁷	tsʰa⁵	tsʰeʔ⁷	tsʰeʔ⁷	tsʰe⁷	*tsʰeʔ⁷		
65	矸		kan¹	kan¹	⁻⁻⁻⁻	⁻⁻⁻⁻	⁻⁻⁻⁻	⁻⁻⁻⁻	*kan¹(?)		
66	樽		ɕɦȵ	ʂɕɤɤ³	ʂᴈɐᴇ	tsuŋ¹	tsuŋ¹	tsuŋ¹	ɤtsun¹()		
67	底		tue³	te³	te³	tõi³	toi³	tɔi³	*toi³		
68	弓		kiŋ¹	kiŋ0	koŋ¹	keŋ¹	keŋ¹	kiaŋ¹	ɤ*kɯŋ¹		
69	碗		uã	uã	ɐᴇᴇɐ	uã³	uã³	ua³	*uã³		
70	箱		siu¹	siɔ̃¹	siŋ¹	siõ¹	siõ¹	siɔ¹	*siõ¹		
71	枝		ki¹	ki¹	ki¹	ki¹	ki¹	⁻⁻⁻	*ki¹		
72	勇		iɔŋ³	iɔŋ³	ioŋ³	ioŋ³	ioŋ³	ziɔŋ³	*ioŋ³		
73	光		kŋ¹	kui¹	kŋ¹	kɯŋ¹	kɯŋ¹	kui¹	*kuĩ¹		
74	刷		səʔ⁷	sua³	suaʔ⁷	sueʔ⁷	sueʔ⁷	suak⁷	*suø⁴ʔ⁷		
75	佛		put⁸	put⁸	hoʔ⁸	huk⁸	huk⁸	puk⁸	ɤ*put⁵⁻⁴ *hut⁵		
76	髻		kə⁵	ke⁵	kue⁵	kue⁵	kue⁵	xᴇɤ⁻	ɬ*kuø⁵		
77	□		tai²	tai²	tɛ²	tai²	⁻⁻⁻⁻	tai²	*tai²		
78	尻川		kʰa¹ tsʰŋ¹	kʰa¹ tsʰui¹	kʰa¹ tsʰuŋ¹	ka¹ tsʰɯŋ¹	kʰa¹  tsʰɯŋ¹	ka¹ tsʰui¹	ʷkʰa¹ tsʰuɪ̃¹		
79	鈕		liu³	liu³	liu²	niu³	niu³	niu³	*niu³		
80	買		bue³	be³	be³	boi³	boi³	bɔi³	*boi		
81	餅		piã³	piã³	piã³	piã³	piã³	pia³	*piã³		
82	叫		kio⁵	kio⁵	⁻⁻⁻	kio⁵	kio⁵	⁻⁻⁻	*kio⁵		
83	解		e⁴	gɐ	e⁴	oi⁴	oi⁴	ɐᴇᴇᴇ	ɤoi⁴		
84	燭		tsiak⁷	tsik⁷	tsoʔ⁷	tsek⁷	tsek⁷	tsiak⁷	*tsɯk⁷		
85	𣍐		bue⁴	be⁶	be⁴	boi⁴	boi⁴	⁻⁻⁻⁻	*boi⁴		
86	□		ɡau²	ɡau²	gɔ²	ɡau²	ɡau²	ii	*gau²		
87	鯉		tai⁴	tai⁶	tɛ⁴	li³	li³	li	*tai⁴⁻ʻli³		
88	車		tsʰia¹	tsʰia¹	tsʰa¹	tsʰia¹	tsʰia¹	tsʰia¹	*tsʰia¹		
89	□		kuã⁴	kuã⁶	⁻⁻⁻⁻	kuã⁴	kuã⁴	⁻⁻⁻⁻	*kuã⁴		
90	捧		ɐʰɔŋ0	pʰɔŋ	pʰoŋ0	pʰoŋ	⁻⁻̃	pʰɔŋ0	*pʰoŋ		
91	貓		niãu² ba²	liãu¹-ʷba²	mã¹	ŋiau¹	ŋiau¹	ba²	ɤma²*niau¹*ŋiau¹		
92	□		hui²	hui²	hui	hui²	hui²	⁻⁻⁻	*hui²		
93	鏈		lian⁵	lian⁶	liaŋ¹	liaŋ⁶	liaŋ⁶	lieŋ⁴	*lian⁶		
94	椅		i³	i³	i³	j³	j³	i³	ɤj³ɤʮ³		
95	變		pi⁵	pi⁵	piŋ⁵	pi⁵	pi⁵	pi⁵	*pi⁵		
96	字		li⁵	dzi⁶	tsi¹	zi⁶	zi⁶	æ̃̃̃̃	*di⁶		
97	惜		sioʔ⁷	sioʔ⁷	siɤ⁵	sioʔ⁷	sioʔ⁷	⁻⁻⁻	*sioʔ⁷		
98	栗		lat⁸	lat⁸	leʔ⁸	lak⁸	lak⁸	lik⁷	*lat⁶		
99	雞		kue¹	ke¹	ki¹	koi¹	koi¹	kɔi¹	ɤ*koi¹		
100	揀		kuĩ³	kan³	kiŋ³	⁻⁻⁻	kãĩ²	kai³	ɤkõi³		
101	箸		tɯ⁵	ti⁶	tui¹	tɯ⁶	tu⁶	tu¹	*tɯ⁶		
102	環		kʰuan²	kʰuan²	kʰuaŋ²	huaŋ²	huaŋ²	huaŋ²	⁴kʰuan²⁴~*huan²		
103	城		siã²	siã²	sã²	siã²	siã²	sia²	*siã²		
104	族		tsɔk⁸	tsɔk⁸	tsoʔ⁸	tsok⁸	tsok⁸	tsɔk⁸	*tsok⁸		
105	爪		liau³	dziau³	liɔ³	ziau³	ziau³	niau³	*diau³		
106	清氣		tsʰiŋ¹kʰi⁵	tsʰiŋ¹kʰi⁵	tsʰeŋ¹kʰi⁵	tsʰeŋ¹kʰiʔ⁷	tsʰeŋ¹kʰiʔ⁷	⁵⁻⁻⁻⁻	*tsʰiŋ¹kʰi⁵		
107	清		tsʰiŋ¹	tsʰiŋ¹	tsʰeŋ¹	tsʰeŋ¹	tsiŋ¹	tsieŋ¹	*tsʰiŋ¹(ʔ)		
108	領		niã³	liã³	niã³	nia³	nia³	⁻⁻⁻	*niã³		
109	把		p⁶³	----	pa³	pe³	pɐ̆³	pɛ²	*pe³		
110	支		ki¹	ki¹	ki¹	ki¹	ki¹	ki¹	ɤki¹		
111	隻		tsiaʔ⁷	tsiaʔ⁷	⁻⁻⁻⁻	tsiaʔ⁷	tsiaʔ⁷	⁻⁻⁻̃	*tsiaʔ⁷		
112	頭				tʰɔ²			tʰau²	*tʰau²		
113	粒		liap⁸	liap⁸	⁻⁻⁻⁻	liap⁸	liap⁸	liap⁸	*liap⁸		
114	尾		bə³	bue³	bue³	bue³	ɐɐɐɐ	mȵɐɐ	*buø³		
115	間		kuiĩ¹	kan¹	kiŋ¹	kãi¹	kãi¹	kai¹	*kõi¹		
116	座		tso⁴	tso⁶	mɐɐx	tso⁶	tso⁶	tsɛ¹	ɤtso⁵		
117	張		tii¹	tiə̃	tiŋ⁷	tiõ	tio	tiɔ⁴	ɤtiõ		
118	叢		tsaŋ²	tsaŋ²	⁻⁻⁻⁻	tsaŋ²	tsaŋ²	tsaŋ²	*tsaŋ²		
119	□	climb	pe⁴ʔ⁷	pɛʔ¹	⁻⁻⁻⁻	pe⁴ʔ⁷	peʔ⁷	⁻⁻⁻	*peʔ⁷		
120	屐		kiaʔ⁸ kʰiaʔ⁸	ʷkʰiaʔ⁸	kiaʔ⁵	kʰia⁴	kiaʔ⁵	kiaʔ⁸	kia⁴ ɤkiaʔ⁵⁴		
121	布		pɔ⁵	pɔ⁵	pu⁵	pou⁵	pou⁵	pɛɯ⁵	ɤ*pou⁵		
122	雲		hun²	hun²	hueŋ²	huŋ²	huŋ²	huŋ²	*hun²		
123	粗		tsʰɔ0	tsʰɔ¹	tsʰu¹	tsʰou¹	tsʰou¹	tsʰɛu¹	tsʰou¹		
124	□	roach	tsuaʔ⁸	tsuaʔ⁵	tsua⁴	tsuaʔ⁵	tsuaʔ⁸	tsua⁴	*tsuaʔ⁸		
125	收		siu¹	siu¹	su¹	siu¹	siu¹	siu¹	*siu¹		
126	色		siak⁷	sik⁷	saʔ⁷	sek⁷	sek⁷	sek⁷-⁻sik⁷	*sik⁷		
127	梳		sue¹	se¹	sɔ¹	siu¹	siu¹	sɔi¹	*sioi¹		
