id	zi	gloss	QZ	ZZ	DT	JY	CY	LZ	PSM		
237	層		tsʰan²	tsʰan²	tsʰaŋ²	tsʰaŋ²	tsʰaŋ²	tsʰaŋ²	*tsʰan²		
238	孝		ha⁵	ha⁵	ha⁵	ha⁵	ha⁵	ha⁵	*ha⁵		
239	坉		tʰun⁵	tʰun⁶	tʰueŋ0	tʰuŋ0	tʰuŋ	⁻⁻⁻	*tʰun⁶		
240	幼		iu⁵	iu⁵	iu⁵	iui⁵	iiui⁵	iu⁵	*iu⁵⁻⁻iti⁵		
241	指		tsui³	tsãi³	tsɛ³	tsãi³	tsãi³	tsai³	*tsãi³		
242	甲		kaʔ⁷	kaʔ⁷	ka⁵	kaʔ⁷	kaʔ⁷	ka⁷	ʷkaʔ⁷		
243	腡		lə²	le²	lue²	lo²	lo²	lɛ²	*lø²		
244	完		uan²	uan²	buaŋ²	uaŋ²	uaŋ²	zieŋ²	*uan²		
245	火		hə³	hue³	hue³	hue³	hue³	huɛ²	*huø³		
246	(第)一		it⁷	it⁷	eʔ⁷	ek⁷	ik⁷	iek⁷	⁴u³		
247	魚		hɯ²	hi²	hi²	hɯ²	huɯ²	huɯ²	*hɯ²		
248	拳		kun²	kun²	kueŋ²	kʰuŋ²	kʰuŋ⁴	kʰieŋ²	³ʻkun²		
249	五		gɔ⁴	gɔ⁶	gu⁴	ŋou⁴	ŋou⁴	ŋɛu⁴	*ŋou⁴		
250	苧		tue⁴	te⁶	tiɔ⁴	tiu⁴	tiu⁴	⁻⁻⁻	*tioi⁴		
251	蚤		tsau³	tsau³	tsɔ³	tsau³	tsau³	tsau³	*tsau³		
252	浮		pʰu²	pʰu²	pʰu²	pʰu²	pʰu²	pʰu²	ɤpʰu²		
253	花		hue¹	hua¹	hua¹	hue¹	hue¹	huɛ¹	*hue¹		
254	蠅		sin²	sin²	seŋ²	seŋŋ²	siŋ²	siŋ²	*sin²		
255	飛		pə¹	pue¹	pue¹	pue¹	pue	puɛ¹	ɤpuø¹		
256	□	foam	pʰəʔ⁸	pʰueʔ⁵	pʰɤ⁵	pʰueʔ⁸	pʰueʔ⁸	pʰuɛ⁴	⁴pʰuøʔ⁵		
257	綴		tə³	tue³	tue³	tue³	tue³	ȵᴇɤᴇ	*tuø³		
258	骹		kʰa¹	kʰa¹	kʰa¹	kʰa¹	kʰa¹	kʰa¹	ɤkʰa¹		
259	額		hiaʔ⁸	hiaʔ⁵	ia⁴	hiaʔ⁸	hiaʔ⁸	ŋia⁴	*ŋhiaʔ⁸		
260	林		nã²	lã²	nã²	na²	lim²	lim²	*nã²		
261	四		si⁵	si⁵	si⁵	si⁵	si⁵	si⁵	*si⁵		
262	芳		pʰaŋ¹	pʰaŋ¹	pʰaŋ¹	pʰaŋ¹	pʰaŋ⁷	pʰaŋ¹	ʷpʰaŋ		
263	鮮		tsʰi¹	tsʰi¹	siaŋ¹	tsʰi¹	tsʰi¹	tsʰi¹	*tsʰi¹		
264	友		iu³	iu³	iu³	iu³	iu³	ziu³	*iu³		
265	驚		kiã¹	kiã¹	kiã¹	kiã¹	kiã¹	kia¹	*kiã¹		
266	前		tsui²	tsiŋ²	tsiŋ²	tsãi²	tsãi²	tsai²	*tsõi²		
267	果		kə³	kue³	kɔ³	kue³	kuɐ̃³	kuɛ²	*kuø³		
268	炒		tsʰa³	tsʰa³	tsʰa³	tsʰa³	tsʰa³	tsʰa³	*tsʰa³		
269	鼎		tiã³	tiã³	tiã³	tiã³	tiã³	tia³	tiã³		
270	充		tsʰiɔŋ¹	tsʰiɔŋ¹	tsʰoŋ¹	tsʰoŋ¹	tsʰoŋ¹	tsʰɔŋ¹	⁴tsʰioŋ¹		
271	滇		fi⁴	fi⁶	tiŋ⁴	fi⁴	fi⁴	ti⁴	xti⁴		
272	飽		pa³	pa³	pa³	pa³	pa³	pa³	*pa³		
273	得		tit⁷	tit⁷	teʔ⁷	tek⁷	tik⁷	tiek⁷	ɤtit⁷		
274	鰓		tsʰi¹	tsʰi¹	tsʰi¹	tsʰi¹	tsʰi¹	tsʰi¹	ɤtsʰi¹		
275	薑		kiiĩ¹	kiə̃¹	keŋ¹	kiõ¹	kiõ¹	kiɔ¹	*kiõ¹		
276	參		səm¹	sɔm¹	saŋ¹	sim¹	sim¹	sim¹	*søm¹⁻*sim¹		
277	送		saŋ⁵	saŋ⁵	saŋ⁵	saɪŋ⁵	saɪŋ⁵	saɪŋ⁵	*saŋŋ⁵		
278	生		si¹	sɛ̃¹	sã¹	sẽ¹	sẽ¹	sɛ¹	ʑʂɐ⁴		
279	秫		tsut⁸	tsut⁸	tsoʔ⁸	tsuk⁸	tsuk⁸	tsuk⁸	*tsut⁶		
280	去		kʰɯ⁵	kʰi⁵	kʰi⁵	kʰɯ⁵	kʰuɯ⁵	kʰu⁵	*xkʰɯ⁵		
281	媒		m²	bun²-⁻bue²	bue²	bue²	bue²	buɛ²	ɤ*mhue²ɤ*mhuø²		
282	出		tsʰut⁷	tsʰut⁷	tsʰoʔ⁷	tsʰuk⁷	tsʰuk⁷	tsʰuk⁷	⁴tsʰut⁷		
283	金		kim¹	kim¹	keŋ¹	kim¹	kim¹	kim¹	*kim¹		
284	好		ho²	ho²	hɤ³	ho²	ho²	hɔ³	ɤ*ho²		
285	吉		kiat⁷	kiat⁷	kiaʔ⁷	kek⁷	kiak⁷	kiek⁷	⁴kiat⁷		
286	福		hɔk⁷	hɔk⁷	hoʔ⁷	hok⁷	hok⁷	hɔk⁷	ɤ*hok⁷		
287	鵝		ɡia²	go²	zia²	go²	go²	gɔ²	*xgia²⁻⁻xɡo²		
288	粟		tsʰiak⁷	tsʰik⁷	tsʰoʔ⁷	tsʰek⁷	tsʰek⁷	tsʰiak⁷	⁴tsʰɯk⁷		
289	孫		sun¹	sun¹	sueŋ¹	suŋ¹	suŋ¹	suŋ¹	ɤ*sun¹		
290	墓		bɔ⁵	bɔŋ⁶	bu⁵	mo⁴	mo⁴	mɛu¹	ɤ*mou⁶		
291	磨		bua²	bua²	bua²	bua²	bua²	bua²	*bua²		
292	研		ŋuĩ³	gan³	ziaŋ²	ŋiaŋ²	ŋiaŋ³	liɛŋ²	*ŋian² *ŋõi³		
293	約		ioʔ⁷	ioʔ⁷	ziɤ⁵	ioʔ⁷	ioʔ⁷	⁻⁻⁻	*ioʔ⁷		
294	客		kʰeʔ⁷	kʰɛʔ⁷	kʰa⁵	kʰeʔ⁷	kʰeʔ⁷	kʰe⁷	ɤkʰeʔ⁷		
295	罪		tsə⁴	tse⁶	tsue⁴	tsue⁴	tsue⁴	tsui⁴	*tsuø⁴		
296	毛		bŋ²	bə̃⁴	mŋ²	mo²	mo²	bɔ²	ɤmõ²		
297	簪		tʰue¹	tʰe¹	⁻⁻⁻⁻	tʰoi¹	tʰoi¹	tʰɔi¹	*tʰoi¹		
298	半		puã⁵	puã̃	puã̃	puɑ̃⁵	puã⁵	pua⁵	*	puã⁵	
299	籮		lua²	lua²	lua²	lua²	lua²	lɔ²	*lua²		
300	手		tsʰiu³	tsʰiu³	tsʰu³	tsʰiu³	tsʰiu³	tsʰiu³	⁴tsʰiu³		
301	吊		tiau⁵	tiau⁵	tiɔ⁵	tiau⁵	tiau⁵	tiau⁵	*tiau⁵		
302	歡喜		huã̃hi³	huã¹hi³	⁻⁻⁻⁻	huã¹hi³	huã¹hi³	hua¹hi³	*huã¹hi³		
303	澳		o⁵	o⁵	ɔ⁵	õ⁵	o⁵	au⁵	*uo⁵		
304	橂		tui⁵	tan⁶	tiŋ¹	tãi⁶	tãi⁶	tai¹	*tõii⁶		
305	急		kip⁷	kip⁷	keʔ⁷	kip⁷	kip⁷	kʰip⁷	*kip⁷		
306	帽		bo⁵	bo⁶	bɤ¹	bo⁶	bo⁶	mau⁴	*bo⁶		
307	孵		pu⁵	pu⁶	pu¹	pu⁶	pu⁶	pu¹	ɤpu⁶		
308	有		u⁴	u⁶	bua⁴	u⁴	u⁴	u⁴	xu⁴		
309	缺		kʰiʔ⁷	kʰiʔ⁷	kʰi⁵	kʰiʔ⁷	kʰiʔ⁷	kʰi⁷	*kʰiʔ⁷		
310	頭		tʰau²	tʰau²	tʰɔ²	tʰau²	tʰau²	tʰau²	*tʰau²		
311	醫		i¹	i¹	i¹	ui¹	ui¹	i¹	*i¹⁻	*ui¹	
312	心		sim¹	sim¹	seŋ¹	sim¹	sim¹	sim¹	*sim¹		
313	重		taŋ⁴	taŋ⁶	taŋ⁴	taŋ⁴	taŋ⁴	taŋ⁴	*taŋ⁴		
314	麻		muã²	buã²	muɯã̃²	mua²	mua²	mua²	*muã²		
315	鋤		tɯ²	ti²	tʰui²	tɯ⁶	t²	tʰu²	ʷtɯ²		
316	承		sin²	sin²	seŋ²	seŋ²	seŋ²	siŋ²	*sen²		
317	抱		pʰo⁴	pʰo⁶	pʰɤ⁴	pʰo⁴	pʰo⁴	pʰɔ⁴	ɤpʰo⁴		
318	含		kam²	kam²	kaŋ²	kam²	kam²	kam²	*kam²		
319	托		tʰuʔ⁷	tʰuʔ⁷	tʰoʔ⁷	tʰoʔ⁷	tʰoʔ⁷	tʰɔ⁷	xtʰuʔ⁷		
320	泛		pʰʉ̃⁵	pʰa⁵	pʰʉ̃⁵	pʰʔ̃	huam⁵	baŋ⁵	xpʰã⁵		
321	角		kak⁷	kak⁷	kaʔ⁷	kak⁷	kak⁷	kak⁷	*kak⁷		
322	馬		be³	bɛ³	ba³	be³	be³	bɛ³	*be³		
323	熱		luaʔ⁸	dzuaʔ⁵	ziaʔ⁸	zuaʔ⁸	zuaʔ⁸	zua⁴	*duaʔ⁵		
324	厝		tsʰu⁵	tsʰu⁵	tsʰu⁵	tsʰu⁵	tsʰu⁵	tsʰu⁵	ɤtsʰu⁵		
325	家		ke¹	kɛ¹	ka¹	ke¹	ke¹	kɛ¹	*ke¹		
326	[若夥]		lua⁴	lua⁶	lua⁴	mnɤᴇ	mɐ⁵ᴇ	ua⁴	*lua⁴		
327	若		⁻⁻⁻⁻	⁻̃	⁻̃⁻⁵	0	zioʔ̃	zioʔ	⁻⁻⁻	*zioʔ⁸	
328	幾		kui³	kui³	kui³²	kui³	kui³	kui³	*kui²		
329	百		peʔ⁷	pɛʔ⁷	pɤ⁵	peʔ⁷	peʔ⁷	pɛ⁷	*peʔ⁷		
330	億		iak⁷	ik⁷	i⁵	ek⁵	ek⁸	i⁷	*ik⁷		
331	枵		iau¹	iau¹	iɔ⁴	⁻⁻⁻⁻	⁻⁻⁻⁻	iau¹	*iau¹		
332	翁		aŋŋ	aŋŋ	----	aŋŋ	aŋ¹	----	*aŋ		
333	我		gua³	ɡua³	bua³	ua³	ua³	ba³	*gua³		
334	冰		piŋ	piŋ0	peŋ¹	piã	piã¹	peŋ¹	⁵piã¹		
335	藍		lam²	lam²	laŋ²	nam²	nam²	lam²	*lam²		
336	穢		ə⁵	⁻⁻⁻⁻	⁻⁻⁻⁻	ue⁵	ue⁵	uɛ⁵	*uø⁵		
337	墨		bak⁸	bak⁸	baʔ⁵	bak⁸	bak⁶	bak⁶	*bak⁸		
338	硯		hĩ⁵	hɪ̃⁶	niŋ¹	ŋi⁶	ŋĩ⁵	hi¹	ɤ*ŋhĩ⁵		
339	痟		siau³	⁻⁻⁻⁻	sɔ³	siau³	siau³	sau⁷	*ʂau³ siau³	-⁴	
340	蟲		tʰaŋ⁷	tʰaŋ⁷	tʰaŋ²	tʰaŋ⁷	tʰaŋ⁷	tʰaŋ0⁷	⁴*tʰaŋ²		
341	插		tsʰaʔ⁷	tsʰaʔ⁷	tsʰa⁵	tsʰaʔ⁷	tsʰaʔ⁷	tsʰa⁷	*tsʰaʔ⁷		
342	裡		lai⁴	lai⁶	li⁵	lai⁴	lai⁴	lai⁴	*lai⁴		
343	䭕		tsiã³	tsiã̃	tsiã³	tsiã³	tsiã³	tsia³	*tsiã³		
344	腸		tŋ²	tŋ²	tŋ²	tɯŋ²	tɯŋ²	tɔ²	xto²		
345	覆		pʰak⁷	pʰak⁷	⁻⁻⁻⁻	pʰak⁷	pʰak⁷	pʰak⁷	ʷpʰak⁷		
346	帖		tʰiap⁷	tʰiap⁷	tʰiaʔ⁷	tʰiap⁷	tʰiap⁷	tʰiap⁷	⁴tʰiap⁷		
347	請		tsʰiã¹	tsʰiã³	tsʰiã³	tsʰiã³	tsʰia³	tsʰia¹	*tsʰiã³		
348	祝		tsiɔk⁷	tsiɔk⁷	tsoʔ⁷	tsok⁷	tsok⁷	tsɔk⁷	*tsiok⁷		
349	鐵		tʰiʔ⁷	tʰiʔ⁷	tʰi⁵	tʰiʔ⁷	tʰiʔ⁷	tʰi⁷	ɤtʰiɐ		
350	癢		tsiuĩ⁴	tsi⁶	tsiŋ⁴	tsiõ⁴	tsiõ⁴	tsiɔ⁴	*tsiõ⁴		
351	玉		ɡiak⁸	giɔk⁸	ɡoʔ⁸	gek⁸	gek⁸	ziak⁸	ɤ*ɡgɯk⁶		
352	䖳		tʰe⁵	tʰɛ⁶	tʰe⁵	tʰe⁶	tʰe⁶	tʰɛ¹	*tʰe⁶		
353	□	jest at	ɡiat⁸	giat⁸	⁻⁻⁻⁻	⁻⁻⁻⁻	ŋiak⁸	⁻⁻⁻⁻	*ŋŋiat⁸		
354	合		hap⁸	hap⁸	haʔ⁸	hap⁸	hap⁸	hap⁸	*hap⁸		
355	樂		lɔk⁸	lɔk⁸	lɤ⁴	lak⁸	lak⁸	lɔk⁷	*luok⁸		
356	汁		tsap⁷	tsiap⁷	tsiaʔ⁷	tsap⁷	tsap⁷	tsiap⁷	*tsiap⁷⁻ *tsap⁷		
357	□	jump	tio²	tio²	⁻⁻⁻⁻	⁻⁻⁻⁻	⁻⁻⁻⁻	tiɔ²	ɤtio²		
358	守		tsiu²	tsiu⁹⁴	tsu³	siu³	siu³	tsiɔ²	*tsiu³		
359	默		hm⁴ʔ⁵	hm⁴ʔ⁵	baʔ⁸	mek⁸	mek⁸	mek⁸	*mhik⁵(?)		
360	踢		tʰat⁷	tʰat⁷	tʰiaʔ⁷	tʰak⁷	tʰak⁷	tʰak⁷	ɤʮʰʑᴇ³		
361	治		tʰai²	tʰai²	tʰɛ²	tʰai²	tʰai²	tʰai²	*tʰai²		
362	殺		suaʔ⁷	suaʔ⁷	saʔ⁷	suaʔ⁷	suaʔ⁷	sua⁷	*suaʔ⁷		
363	斟		tsim¹	tsim¹	⁻⁻⁻⁻	tsim¹	tsim¹	ɐɐᴇ	*tsim¹		
364	刀		to¹	to¹	tɤ¹	to¹	to¹	tɔ⁴¹	*to¹		
365	□	knock	kʰa⁵	kʰa⁵	kʰɤ⁵	----	---	kʰa⁵	ɤkʰaə⁵		
366	知		tsai¹	tsai¹	tsɛ¹	tsai¹	tsai¹	tsai¹	*tsai¹		
367	桸		hia¹	hia¹	hia¹	hia¹	hia¹	⁻⁻⁻⁻	*hia¹		
368	娘		niũ	liə̃²	niŋ²	nio²	nio²	niɔ²	ɤ*niõ²		
369	湖		ɔ²	ɸ̃	hu²	ou²	ou²	ɛu²	ɤ*ou²		
370	瘸		kʰə²	⁻⁻ᵐ	kʰɤ²	kʰue⁴	kʰue²	kʰuɛ²	*kʰuø²		
371	燈		tiŋ¹	tiŋ¹	teŋ¹	teŋ¹	teŋ¹	teŋ¹	*tiŋ¹		
372	話		ue⁵	ua⁶	bua¹	ue⁶	ue⁶	uɛ¹	*ue⁶		
373	晏		uã⁵	uã⁵	muã⁵	uã⁵	mᴇᴇᴇ	ua⁵	*uã⁵		
374	笑		tsʰio⁵	tsʰio⁵	tsʰɤ⁵	tsʰio⁵	tsʰio⁵	tsʰiɔ⁵	*tsʰio⁵		
375	法		huat⁷	huat⁷	huaʔ⁷	huak⁷	huap⁷	bak⁷	*huap⁷		
376	□	lazy	tũ	tɯa⁰	tuᴀ⁴	tua⁴	tua⁴	tua⁴	*tuã		
377	箬		hioʔ⁸	hioʔ⁸	liɤ⁴	hioʔ⁸	hioʔ⁸	hiɔ⁴	ɤ*nhioʔ⁸		
378	倚		ua³	ua³	ua³	ua³	ua³	ua³	*ua³		
379	學		oʔ⁸	oʔ⁸	ɤ⁴	oʔ⁸	oʔ⁸	ø	*oʔ⁸		
380	博		pʰɔk⁷	pʰɔk⁷	pʰoʔ⁷	pʰak⁷	pʰak⁷	pɔk⁷	ɤpʰuok⁷		
381	閑		uĩ²	iŋ0	iŋ²	ai²	oi²	ai²	*ɐi²		
382	批		pʰue¹	[pʰe¹	pʰe¹	pʰoi¹	pʰoi¹	pʰɔi¹	*pʰoi¹		
383	舐		tsi⁴	tsi⁶	⁻⁻⁻	tsi⁴	tsi⁴	tsi⁴	*tsi⁴		
384	倒		to³	to³	tɤ³	to³	to³	⁻⁻⁻⁻	*to³		
385	輕		kʰin¹	kʰin¹	kʰeŋ¹	kʰeŋ¹	kʰiŋ	kʰieŋ¹	*kʰin¹		
386	綠		liak⁵	lik⁸	loʔ⁸	lek⁸	lek⁸	liak⁸	*lɯk⁵		
387	唇		tun²	tun²	tueŋ²	tuŋ²	tuŋ²	tuŋ²	ɤ*tun²		
388	聽		tʰiã¹	tʰiã¹	tʰiã¹	tʰiã¹	tʰiã¹	tʰia¹	*tʰiã¹		
389	荔		nuiĩ⁵	lãi⁶	leŋ¹	li⁴	li⁴	li⁷	ɤ*noĩ⁶		
390	肝		kuã¹	kuã¹	kuã¹	kuã¹	kuã¹	kua¹	*kuã¹		
391	長		tŋ²	tŋ²	tŋ²	tɯŋ²	tɯŋ²	tɔ²	ɤtõ²		
392	冗		liŋ⁵	liŋ⁶	loŋ¹	neŋ⁴	leŋ⁶	niaŋ¹	ɤ*nɯŋ⁶		
393	脫		tʰut⁷	tʰut⁷	tʰoʔ⁷	tʰuk⁷	tʰuk⁷	tʰuk⁷	⁵tʰut⁷		
394	蝨		sat⁷	sap⁷	saʔ⁷	sak⁷	sak⁷	sak⁷	*sat⁷		
395	下		ke⁴	ke⁶	kia⁴	ke⁴	ke⁴	⁻⁻⁻	*ke⁴		
396	肺		hui⁵	hi⁵	pʰui⁵	hui⁵	hui⁵	hui⁵	ɤpʰui⁵ -⁴⁴hui⁵		
397	趁		tʰan⁵	tʰan⁵	tʰaŋ0	tʰaŋ0	tʰaŋ0	tʰaŋ0	*tʰan⁵		
398	檨		suan⁵	suã⁶	⁻⁻⁻⁻	suãi⁶	suãi⁶	xᴇɤ⁻	*ʂuõi⁵(?)		
399	□	many	tsue⁵	tse⁶	tse¹	tsoi⁶	tsoi⁶	tsɔi¹	*tsoi⁶		
400	嫁		ke⁵	kɛ⁵	ka⁵	ke⁵	ke⁵	kɛ⁵	*ke⁵		
401	桅		ui²	ui²	bui²	ui²	ui²	ɕᴇɐ⁵	ɤui²		
402	肉		hiak⁸	⁻⁻⁻⁻	⁻⁻⁻	nek⁸	nek⁸	hip⁸	*nhɯk⁸		
403	膏		ko¹	ko¹	kɤ¹	ko¹	ko¹	kɔ⁴	*ko¹		
404	藥		ioʔ⁸	ioʔ⁸	ziɤ⁴	ioʔ⁸	ioʔ⁸	iɔ⁴	*ioʔ⁸		
405	瓜		kue¹	kua¹	kua¹	kue¹	kue¹	kuɛ¹	*kue¹		
406	礦		kʰŋ⁵	kʰɔŋ⁵	kuã̃	kʰuaŋ⁵	kʰuaŋ⁵	kʰuaŋ⁵	*kʰuoŋ⁵		
407	磨		bo⁵	bo⁶	bɤ¹	mo⁶	mo⁶	mɔ¹	ɤ*mo⁶		
408	鏡		kiã⁵	kiã⁵	kiã⁵	kiã⁵	kiã⁵	kia³	*kiã⁵		
409	念		liam⁵	liam⁶	liaŋ¹	niam⁴	niam⁴	niam¹	niam⁶		
410	霧		bu⁵	bu⁶	bu⁵	bu⁶	bu⁶	bɛu⁵	*bu⁶⁻⁻*bou⁶		
411	攙		tsʰam¹	tsʰam¹	tsʰaŋ¹	⁻⁻⁻⁻	⁻⁻⁻⁻	⁻⁻⁻⁻	*tsʰam¹		
412	雜		tsap⁸	tsap⁸	tsaʔ⁸⁵	tsap⁸	tsap⁸	tsap⁸	*tsap⁸		
413	痣		ki⁵	ki⁵	ki⁵	ki⁵	ki⁵	ki⁵	ɤki⁵		
414	錢		tsi²	tsi²	tsiŋ²	tsi²	tsi²	tsi²	ɤtsi²		
415	猴		kau²	kau²	kɒ²	kau²	kau²	kau²	*kau²		
416	月		ɡəʔ⁸	ɡueʔ⁵	bue⁴	ɡueʔ⁵	gueʔ⁵	buɛ⁴	x*guøʔ⁸		
417	臼		ku⁴	kʰu⁶	kʰu⁴	kʰu⁴	kʰu⁴	kʰu⁴	ɤkʰu⁴		
418	蠓		baŋ³	baŋ³	baŋ³	maŋ³	maŋ³	maŋ³	*maŋ³		
419	苔		tʰ⁴	tʰi²	tʰɤ	(ʰ̃	tʰ̃	tʰi	ɤpʰ̃		
420	舅		ku⁴	ku⁶	ku⁴	ku⁴	ku⁴	ku⁴	*ku⁴		
421	山		suã¹	suɨ̃8	suã¹	suã	suã	sua¹	*suã		
422	喙		tsʰui⁵	tsʰui⁵	⁻⁻⁻⁻	tsʰui⁵	tsʰui⁵	tsʰui⁵	*tsʰui⁵		
423	動		taŋ⁴	taŋ⁰	taŋ⁴	taŋ⁴	taŋ⁴	tʰaŋ⁴	*taŋ⁴		
424	撬		kiau⁴	kiau⁶	kiɤ⁴	kiau⁴	kiau⁴	kiau⁴	*kiau⁴		
425	菇		kɔ¹	kɔ¹	ku¹	kou¹	kou¹	kɛu¹	*kou¹		
426	啞		e³	ɛ̃³	a³	e³	e³	ɛ³	ɦd	e³	
427	名		biã²	biã²	miã²	miã²	miã²	mia²	*miã²		
428	狹		ueʔ⁸	eʔ⁸	æ	oiʔ⁸	oiʔ⁸	ɔi⁴	*oiʔ⁸		
429	近		kun⁴	kin⁶	keŋ⁴	keŋ⁴	kiŋ⁴	kieŋ⁴	*kɯn⁴		
430	頷		am²	am⁶	---⁻	am⁴	am⁴	am⁴	*.	am⁴	
431	岫		siu⁵	siu⁶	siu⁵	siu⁶	siu⁶	siu¹	ɤsʂiu⁶		
432	網		baŋ⁴	baŋ⁶	baŋ⁴	maŋ⁴	maŋ⁴	maŋ⁴	ɤmaŋ⁴		
433	新		sin¹	sin¹	seŋ¹	seŋ¹	siŋ¹	sieŋ¹	*sin¹		
434	九		kau³	kau³	kɔ³	kau³	kau³	kau³	*kau³		
435	北		pak⁷	pak⁷	paʔ⁷	pak⁷	pak⁷	pak⁷	*pak⁷		
436	鼻		pʰi⁵	pʰi⁶	pʰi⁵	pʰi⁶	pʰi⁶	pʰi¹	xpʰi⁶--pʰi⁶		
437	唔		m⁵	m⁶	ŋ¹	m⁴	m⁴	----	ɤ*m⁶		
438	無		bo²	bo²	bɤ²	bo²	bo²	bɔ²	*bo²		
439	槳		tsiuĩ³	ɐɐɪɐ̃̃	⁵⁵⁵⁵	tsiõ³	tsio³	mɐɐ⁵	*tsiõ³		
440	服		hɔk⁵	hɔk⁸	hoʔ⁸	hok⁸	hok⁸	hɔk⁸	*hok⁸		
441	油		iu²	iu²	iu²	iu²	iu²	iu²	*iu²		
442	老		lau⁴	lau⁶	lɤ³	lau⁴	lau⁴	lau⁴	*lau⁴		
443	舊		ku⁵	ku⁶	ku¹	ku⁶	ku⁶	ku¹	ɤ*ku⁶		
444	蜀		tsit⁸	tsit⁸	tseʔ⁸	tsek⁸	tsek⁸	ziak⁸	*tsit⁵⁴ *tsɯk⁵		
445	家己		kai⁴ki⁵	ka¹ki²	⁻⁻⁻⁻	ka¹ki⁶	ka¹ki⁵	ka⁴ki¹	ʻka¹ki⁶(?)		
446	獨		tɔk⁸	tɔk⁸	toʔ⁸	tok⁸	tok⁸	tɔk⁸	*tok⁸		
447	開		kʰui¹	kʰui¹	kʰui¹	kʰui¹	kʰui¹	kʰui¹	ʷkʰuĩ¹		
448	擘		⁻⁻⁻	pɛʔ⁷	pə⁵	peʔ⁷	peʔ⁷	pɛ⁷	*peʔ⁷		
449	外		gua⁵	gɯø̃	⁵⁵⁻⁵	gua⁶	gua⁶	bua¹	ɤ*gua⁶		
450	欠		kʰiam⁵	kʰiam⁵	kʰiaŋ⁵	kʰiam⁵⁻kʰeŋ⁵	kʰim⁵	kʰiam⁵	kʰiam⁵		
451	蠔		o²	o²	ɤ²	o²	o²	ɔ²	x²		
452	雙		saŋ¹	siaŋ¹	saŋ¹	saŋ¹	saŋ¹	siaŋ¹	ɤsaŋ¹⁻⁻*siaŋ¹		
453	掌		tsili³	tsiɔ̃³	tsŋ³	tsiõ³	tsiõ³	tsiɔ²	ɤtsiõ²		
454	擘		peʔ⁷	pɛʔ⁷	pa⁵	peʔ⁷	peʔ⁷	pɛ⁷	*peʔ⁷		
455	筆		pit⁷	pit⁷	peʔ⁷	pek⁷	pik⁷	piek⁷	*pit⁷		
456	儂		laŋ²	laŋ²	laŋ²	naŋ²	naŋ²	naŋ²	*naŋ²		
457	抾		kʰioʔ⁷	kʰioʔ⁷	kʰiɤ⁵	kʰioʔ⁷	kʰioʔ⁷	kʰiɔ⁷	ʷkʰioʔ⁷		
458	畫		ue⁵	ua⁶	bua¹	ue⁶	ue⁶	uɛ¹	*ue⁶		
459	豬		tɯ¹	ti¹	⁻⁻⁻⁻	tɯ¹	tu¹	tu¹	*tɯɪ¹		
460	鴿		kap⁷	kap⁷	kaʔ⁷	kap⁷	kap⁷	kap⁷	*kap⁷		
461	柱		tʰiau⁴	tʰiau⁶	tʰiɔ⁴	tʰiau⁴	tʰiau⁴	tʰiau⁴	ʷtʰiau⁴		
462	夾		gueʔ⁷	gɛ̃ʔ⁷	kaʔ⁷	kiap⁸	kiap⁷	kɒi⁷	ɤ*ŋoiʔ⁷ *koiʔ⁷	-⁻	
463	□	pinch (2)	⁻⁻⁻	liam⁵	⁻⁻⁻⁻	niam⁵	niam⁵	niam⁷	ɤniam⁵		
464	衣		ui¹	ui¹	mȵʰᴇ	ui¹	ui¹	mȵȵᴇ	ɤ*ui¹		
465	戲		hi⁵	hi⁵	hi⁵	hi⁵	hi⁵	hi⁵	*hi⁵		
466	□□	play (v.)	tʰit⁷tʰo²	ɣʒ⁴ɪ̃tʰo²	rʷɤˑ⁵tʰo²	tʰek⁷tʰo²	tʰik⁷	tiŋ⁷tʰɔŋ²	ɤtʰit⁷tʰo²		
467	犂		lue²	le²	le²	loi²	loĩ²	lɔi²	*loi²		
468	梅		m²	m²-⁴ bue²	uɪŋ	bue²	bue²	buɛ²	ɤ*mue²		
469	毒		tak⁵	tak⁵	toʔ⁵	tak⁸	tak⁵	tak⁵	*tak⁵		
470	港		kaŋ²	kaŋ⁹	kaŋ²	kaŋ²	kaŋ²	kaŋ²	*kaŋ³		
471	□	pour liquid into cup	ɬȵɛ	ɐɨ̃	ɤwœŋ̃	̃⁵⁵⁵	tʰiŋ²	⁻⁻⁻⁻	ɕ̃̃̃̃		
472	寶		po³	po³	pɤ³	po³	po³	pɔ³	*po³		
473	□	press (v.)	d	ȵʰĩ¹	ɨæʑiɪ	⁻⁻⁵	ziʔ⁵	ziʔ⁵	⁻⁻⁻⁻	xdiʔ⁵	
474	□	press down	teʔ⁷	tɛʔ⁷	ta⁵	teʔ⁷	teʔ⁷	tɛ⁷	*teʔ⁷		
475	□	pretend	t]	f̃	tɐ⁵	t̃⁵	tẽ⁵	tẽ	te⁵	ɤtẽ⁵	
476	價		ke⁵	kɛ⁵	ka⁵	ke⁵	ke⁵	kɛ⁵	*ke⁵		
477	旺		ɔŋ⁵	ɔŋ⁶	buaŋ¹	uaŋ⁴	uaŋ⁴	baŋ⁴	*uoŋ⁶		
478	挽		ban³	ban³	baŋ³	maŋ⁹0	maŋ⁹	maŋ³	*maŋ³		
479	脈		beʔ⁸	bɛ̃ʔ⁸	mã⁴	meʔ⁸	meʔ⁸	bɛ⁴	*meʔ⁸		
