id	kwok_id	zi	gloss	quanzhou	zhangzhou	datian	jieyang	chaoyang	leizhou	PSM
97	376	□	lazy	tũa⁴	tuã⁶	tuã⁴	tuã⁴	tuã⁴	tua⁴	*tuã⁴
123	377	箬		hioʔ⁸	hioʔ⁸	liɤ⁴	hioʔ⁸	hioʔ⁸	hiɔ⁴	*nhioʔ⁸
92	390	肝		kuã¹	kuã¹	kuã¹	kuã¹	kuã¹	kua¹	*kuã¹
89	393	脫		tʰut⁷	tʰut⁷	tʰoʔ⁷	tʰuk⁷	tʰuk⁷	tʰuk⁷	*tʰut⁷
11	399	□	many	tsue⁵	tse⁶	tse¹	tsoi⁶	tsoi⁶	tsɔi¹	*tsoi⁶
106	402	肉		hiak⁸	⁻⁻⁻⁻	⁻⁻⁻	nek⁸	nek⁸	hip⁸	*nhɯk⁸
91	416	月		ɡəʔ⁸	ɡueʔ⁸	bue⁴	ɡueʔ⁸	gueʔ⁸	buɛ⁴	*guøʔ⁸
19	425	菇		kɔ¹	kɔ¹	ku¹	kou¹	kou¹	kɛu¹	*kou¹
128	427	名		biã²	biã²	miã²	miã²	miã²	mia²	*miã²
2	436	鼻		pʰi⁵	pʰĩ⁶	pʰi⁵	pʰĩ⁶	pʰĩ⁶	pʰi¹	*pʰi⁶~pʰĩ⁶
39	449	外		gua⁵	gua⁶		gua⁶	gua⁶	bua¹	*gua⁶
32	458	畫		ue⁵	ua⁶	bua¹	ue⁶	ue⁶	uɛ¹	*ue⁶
24	484	雨		hɔ⁴	hɔ⁶	hu⁴	hou⁴	hou⁴	hɛu⁴	*hou⁴
121	488	上		tsʰiũ⁴	tsʰiɔ⁶	tsŋ⁴	tsiõ⁴	tsiõ⁴	tsiɔ⁴	*tsiõ⁴~tsʰiõ⁴
53	495	鐮		nuĩ²	liam²	⁻⁻⁻⁻	niam²	liam²	liam²	*liam²~nõi²
38	510	騎		kʰa²	kʰia²	kʰi²	kʰia²	kʰia²	kʰia²	*kʰia²
70	516	賊		tsʰat⁸	tsʰat⁸	tsʰaʔ⁸	tsʰak⁸	tsʰak⁸	tsʰak⁸	*tsʰat⁸
71	518	根		kun¹	kin¹	keŋ¹	keŋ¹	kiŋ¹	kieŋ¹	*kɯn¹
117	519	索		soʔ⁷	soʔ⁷	sɤ⁵	soʔ⁷	soʔ⁷	sɔ⁷	*soʔ⁷
132	520	圓		ĩ²	ĩ²	mŋ²	ĩ²	ĩ²	i²	*ĩ²
33	532	沙		sua¹	sua¹	sua¹	sua¹	sua¹	sua¹	*sua¹
114	576	六		lak⁸	lak⁸	laʔ⁸	lek⁸	lak⁸	lak⁸	*lak³~lɯk⁸
63	552	七		tsʰit⁷	tsʰit⁷	tsʰeʔ⁷	tsʰek⁷	tsʰik⁷	tsʰiek⁷	*tsʰit⁷
120	559	羊		iũ²	iɔ̃²	ziŋ²	iõ²	iõ²	iɔ²	*iõ²
81	560	船		tsun²	tsun²	tsueŋ²	tsuŋ²	tsuŋ²	tsuŋ²	tsun²
40	564	短		tə³	te³	tue³	to³	to³	tɛ³	*tø³
73	566	肩		kuĩ¹	kan¹	kiŋ¹	kãi¹	kõi¹	kieŋ¹	*kõi¹
41	575	坐		tsə⁴	tse⁶	tse⁴	tso⁴	tso⁴	tsɛ⁴	tsø⁴
85	585	滑		kut⁸	kut⁸	koʔ⁸	kuk⁸	huk⁸	kut⁸	*kut⁸
37	596	蛇		tsua²	tsua²	tsua²	tsua²	tsua²	tsua²	*tsua²
86	604	酸		sŋ¹	suĩ¹	suŋ¹	sɯŋ¹	sɯŋ¹	sui¹	*suĩ¹
122	627	石		tsioʔ⁸	tsioʔ⁸	tsɤ⁴	tsioʔ⁸	tsioʔ⁸	tsiɔ⁴	*tsioʔ⁸
67	629	直		tit⁸	tit⁸	teʔ⁸	tek⁸	tik⁸	tiek⁸	*tit⁸
51	658	十		tsap⁸	tsap⁸	tsaʔ⁸	tsap⁸	tsap⁸	tsap⁸	*tsap⁸
69	669	板		pan³	pan³	paŋ³	pãi³	põi³	pai³	*pan³~põi³
57	675	三		sã¹	sã¹	sã¹	sã¹	sã¹	sa¹	*sã¹
46	678	雷		lui²	lui²	lui²	lui²	lui²	lui²	*lui²
79	685	舌		tsiʔ⁸	tsiʔ⁸	sua⁴	tsiʔ⁸	tsiʔ⁸	tsi⁴	*tsiʔ⁸
18	689	樹		tsʰiu⁵	tsʰiu⁶	tsʰu⁵	tsʰiu⁶	tsʰiu⁶	tsʰiu¹	*tsiu⁶
74	696	反		puĩ³	pan³	piŋ⁴	pãi³	pãi³	pai³	*põi³
116	698	兩		nŋ⁴	lɔ̃⁶	nŋ³	no⁴	no⁴	nɔ⁴	*nõ⁴
93	699	傘		suã⁵	suã⁵	suã⁵	⁻⁻⁻	⁻⁻⁻⁻	sua⁵	*suã⁵
7	714	水		tsui³	tsui³	tsi³	tsui³	tsui³	tsui³	*tsui³
126	723	井		tsĩ³	tsɛ̃³	tsã³	tsẽ³	tsẽ³	tsɛ³	*tsẽ³
127	725	白		peʔ⁸	pɛʔ⁸	pa⁴	peʔ⁸	peʔ⁸	pɛ⁴	*peʔ⁸
60	733	翼		sit⁸	sit⁸	seʔ⁸	sek⁸	sik⁸	siek⁸	*sip⁸⁴~sit⁸
77	744	年		nĩ²	lĩ²	niŋ²	ni²	ni²	hi²	*nhĩ²
